id_cli,text_cli_en,text_cli_de,Zuordnung zu boreholeML LithologyList - Name,Zuordnung zu boreholeML LithologyList - Code
15104417,metamonzonite,Metamonzonit,,
15104418,metapyroxenite,Metapyroxenit,,
15104419,metaperidotite,Metaperidotit,,
15104420,nephelinitic metasyenite,nephelinitischer Metasyenit,,
15104421,meta-essexite,Metaessexit,,
15104422,metagranophyre,Metagranophyr,,
15104423,metadyke rock,Metaganggestein,,
15104424,metamicrogranite,Metamikrogranit,,
15104426,metapegmatite,Metapegmatit,,
15104427,meta-aplite,Metaaplit,,
15104428,metamicrodiorite,Metamikrodiorit,,
15104429,metamicrogabbro,Metamikrogabbro,,
15104430,metalamphrophyre,Metalamprophyr,,
15104431,metapicrite,Metapikrit,,
15104432,metadolerite,Metadolerit,,
15104433,meta-alkali rhyolite,Metaalkalirhyolith,,
15104434,metarhyolite,Metarhyolith,,
15104435,metarhyodacite,Metarhyodazit,,
15104436,metadacite,Metadazit,,
15104437,metaquartz andesite,Metaquarzandesit,,
15104438,meta-andesite,Metaandesit,,
15104439,meta-alkali trachyte,Metaalkalitrachyt,,
15104440,metatrachyte,Metatrachyt,,
15104441,metabasalt,Metabasalt,,
15104443,metapicrite,Metaphonolit,,
15104444,metaphonolite,metamorph überprägtes pyroklastisches Gestein,,
15104445,metapyroclastic rock,Metaignimbrit,,
15104446,meta-ignimbrite,Metavulkanit,,
15104447,metavulcanite,Metapillowlawa,metavulcanite,fuv
15101001,unconsolidated deposits,Lockergestein,,
15101003,gravitative sediments and residual deposits,gravitative Sedimente und Verwitterungsbildungen,,
