id_cli,text_cli_en,text_cli_de,URI
15102057,sub-bituminous coal,sedimentärer Lignit,http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15102058,bituminous coal,Steinkohle,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15102059,anthracite,Anthrazit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15102060,ferriferous rock,eisenreiches Gestein,
15102061,iron oolite,Eisenoolith,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15102064,phosphate-rich sandstone,phosphoritreicher Sandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15102065,phosphate-rich limestone,phosphoritreicher Kalkstein,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15102066,phosphate-rich marlstone,phosphoritreicher Mergelstein,http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparGranite
15102068,chemical sedimentary rock,chemisches Sedimentgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15102070,evaporite,Evaporit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15102071,anhydrite,Anhydrit,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15102072,gypsum,Gips,http://inspire.ec.europa.eu/codelist/LithologyValue/granite
15102073,rock salt,Steinsalz,http://inspire.ec.europa.eu/codelist/LithologyValue/granodiorite
15102075,carbonate,Karbonat,http://inspire.ec.europa.eu/codelist/LithologyValue/sandSizeSediment
15102076,sedimentary cellular dolomite,sedimentäre Rauwacke,
15102077,sedimentary calcareous tufa,sedimentärer Quelltuff,http://inspire.ec.europa.eu/codelist/LithologyValue/syenite
15102078,sedimentary travertine,sedimentärer Travertin,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone
15102080,residual and pedogenetically altered deposits,"Residualgestein, pedogen überprägtes Gestein",http://inspire.ec.europa.eu/codelist/LithologyValue/syeniticRock
15102082,pisolitic ironstone,Bohnerz,http://inspire.ec.europa.eu/codelist/LithologyValue/monzonite
15102084,weathering deposits (siderolithic deposits),Verwitterungsbildungen (Siderolithische Bildungen),http://inspire.ec.europa.eu/codelist/LithologyValue/basicIgneousRock
15102086,silicate deposits,silikatreiches Gestein,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15102087,bolus clay,Boluston,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite
15102088,hupper,Huppererde,http://inspire.ec.europa.eu/codelist/LithologyValue/monzodiorite
15102089,quartzitic sand,Quarzsand,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzDiorite
15102090,silcrete,Silcrete,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbro
15102092,pedogenic carbonate,pedogenes Karbonat,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock
15102093,caliche,Caliche,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbroicRock
15102094,calcrete,Krustenkalk,https://inspire.ec.europa.eu/codelist/LithologyValue/quartzGabbro
15102100,echinodermsata limestone,Echinodermenkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryMaterial
15102101,glauconitic limestone,glaukonitischer Kalkstein,http://inspire.ec.europa.eu/codelist/LithologyValue/rock
15102102,lithothamnion sandstone,Lithothamniensandstein,
15102103,ferrouginous sandstone,Eisensandstein,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15102104,glauconitic marl,glaukonitischer Mergel,http://inspire.ec.europa.eu/codelist/LithologyValue/bituminousCoal
15102105,chalky limestone,kreidiger Kalk,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock
15102106,bioclastic limestone,bioklastischer Kalk,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock
15102107,marly limestone,Mergelkalk,http://inspire.ec.europa.eu/codelist/LithologyValue/sand
15102108,ferrouginous limestone,eisenschüssiger Kalk,http://inspire.ec.europa.eu/codelist/LithologyValue/granitoid
15103005,plutonic rock,Plutonit,
15103006,alkali granite,Alkalogranit,http://inspire.ec.europa.eu/codelist/LithologyValue/dioriticRock
15103008,granodiorite,Granodiorit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15103009,quartz diorite,Quarzdiorit,http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparTrachyte
15103010,tonalite,Tonalit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15103011,diorite,Diorit,http://inspire.ec.europa.eu/codelist/LithologyValue/andesite
15103012,syenite,Syenit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15103013,alkali syenite,Alkalisyenit,http://inspire.ec.europa.eu/codelist/LithologyValue/rhyolite
15103014,quartz gabbro,Quarzgabbro,http://inspire.ec.europa.eu/codelist/LithologyValue/phonolite
15103015,gabbro,Gabbro,http://inspire.ec.europa.eu/codelist/LithologyValue/trachyte
15103016,norite,Norit,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonatite
15103017,monzodiorite,Monzodiorit,http://inspire.ec.europa.eu/codelist/LithologyValue/andesite
15103018,monzogabbro,Monzogabbro,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt
15103019,monzonite,Monzonit,http://inspire.ec.europa.eu/codelist/LithologyValue/dacite
15103020,pyroxenite,"Pyroxenit, Intrusivgestein",http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock
15103021,peridotite,"Peridotit, Intrusivgestein",http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia
15103022,nephelinitic syenite,nephelinitischer Syenit,http://inspire.ec.europa.eu/codelist/LithologyValue/alkaliFeldsparRhyolite
15103023,essexite,Essexit,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
15103024,granophyre,Granophyr,http://inspire.ec.europa.eu/codelist/LithologyValue/rhyolite
15103026,dyke rock,Ganggestein,http://inspire.ec.europa.eu/codelist/LithologyValue/trachyte
15103027,microgranite,Mikrogranit,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia
15103028,«rhyolite-porphyry»,Rhyolithporphyr,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite
