id_cli,text_cli_en,text_cli_de,URI
15001173,Lopingian undifferenciated,Lopingien undifferenziert,
15001174,Guadalupian undifferenciated,Guadalupien undifferenziert,
15001175,Cisuralian undifferenciated,Cisuralien undifferenziert,
15001127,Early Mississippian,Frühes Mississippien,http://resource.geosciml.org/classifier/ics/ischart/LowerMississippian
15001129,Late Devonian,Spätes Devon,http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian
15001130,Middle Devonian,Mittleres Devon,http://resource.geosciml.org/classifier/ics/ischart/MiddleDevonian
15001131,Early Devonian,Frühes Devon,http://resource.geosciml.org/classifier/ics/ischart/LowerDevonian
15001133,Silurian,Silur,http://resource.geosciml.org/classifier/ics/ischart/Silurian
15001134,Ordovician,Ordovizium,http://resource.geosciml.org/classifier/ics/ischart/Ordovician
15001135,Cambrian,Kambrium,http://resource.geosciml.org/classifier/ics/ischart/Cambrian
15001142,Visean,Viséen,http://resource.geosciml.org/classifier/ics/ischart/Visean
15001144,Pridoli,Pridolien,http://resource.geosciml.org/classifier/ics/ischart/Pridoli
